latitude,longitude,heading,color,timestamp,mmsi,callsign,destination,to_bow,to_stern,to_port,to_starboard
6051268,363572,None,DEFAULT,15-12-2024 20:03:21,992611600,None,None,1,1,1,1
6029604,351368,155,DEFAULT,15-12-2024 20:03:21,261004168,None,None,None,None,None,None
6030169,350274,252,DEFAULT,15-12-2024 20:03:22,261184790,None,None,None,None,None,None
6052505,358075,511,DEFAULT,15-12-2024 20:03:22,261001230,None,None,None,None,None,None
6032378,348086,None,DEFAULT,15-12-2024 20:03:22,992611110,None,None,1,1,1,1
6034750,367831,None,DEFAULT,15-12-2024 20:03:22,992611300,None,None,1,1,1,1
6031226,348479,302,DEFAULT,15-12-2024 20:03:22,261000197,None,None,None,None,None,None
6045330,340516,58,DEFAULT,15-12-2024 20:03:23,304010228,None,None,None,None,None,None
6038865,352512,40,DEFAULT,15-12-2024 20:03:23,578001700,None,None,None,None,None,None
6052891,358024,511,DEFAULT,15-12-2024 20:03:23,261001880,None,None,None,None,None,None
6045668,341872,79,DEFAULT,15-12-2024 20:03:23,261024110,None,None,None,None,None,None
6030401,350477,71,DEFAULT,15-12-2024 20:03:23,261521000,None,None,None,None,None,None
6052480,358717,None,DEFAULT,15-12-2024 20:03:23,2611400,None,None,None,None,None,None
6045045,349092,94,DEFAULT,15-12-2024 20:03:24,219031310,None,None,None,None,None,None
6052760,357999,249,DEFAULT,15-12-2024 20:03:24,261001620,None,None,None,None,None,None
6030869,349185,511,DEFAULT,15-12-2024 20:03:24,261182515,None,None,None,None,None,None
6029582,351223,311,DEFAULT,15-12-2024 20:03:24,261482000,None,None,None,None,None,None
6053424,377452,None,DEFAULT,15-12-2024 20:03:25,992611200,None,None,1,1,1,1
6029631,351451,235,DEFAULT,15-12-2024 20:03:25,352002283,None,None,None,None,None,None
6044061,341771,511,DEFAULT,15-12-2024 20:03:25,261000320,None,None,None,None,None,None
6045151,342083,None,DEFAULT,15-12-2024 20:03:25,2614900,None,None,None,None,None,None
6046095,348708,266,DEFAULT,15-12-2024 20:03:25,209361000,None,None,None,None,None,None
6032967,356129,37,DEFAULT,15-12-2024 20:03:26,245256000,None,None,None,None,None,None
6026680,347303,147,DEFAULT,15-12-2024 20:03:26,261002050,None,None,None,None,None,None
6031162,348593,288,DEFAULT,15-12-2024 20:03:26,261082060,None,None,None,None,None,None
6052749,357944,511,DEFAULT,15-12-2024 20:03:28,261013840,None,None,None,None,None,None
6054866,365061,207,DEFAULT,15-12-2024 20:03:28,210550000,None,None,None,None,None,None
6045756,345174,256,DEFAULT,15-12-2024 20:03:28,219030885,None,None,None,None,None,None
6045737,341592,127,DEFAULT,15-12-2024 20:03:29,261535000,None,None,None,None,None,None
6031174,348558,117,DEFAULT,15-12-2024 20:03:29,261000140,None,None,None,None,None,None
6031205,348513,298,TOWING_EXCEED,15-12-2024 20:03:29,261003330,SPG2952,GDANSK,16,14,5,5
6045653,347005,269,DEFAULT,15-12-2024 20:03:29,244016000,None,None,None,None,None,None
6027511,399391,None,DEFAULT,15-12-2024 20:03:29,2614100,None,None,None,None,None,None
6041806,369967,205,DEFAULT,15-12-2024 20:03:29,636021784,None,None,None,None,None,None
6044777,341348,511,DEFAULT,15-12-2024 20:03:30,261185774,None,None,None,None,None,None
6046168,340524,294,DEFAULT,15-12-2024 20:03:30,258824000,None,None,None,None,None,None
6046183,339841,56,DEFAULT,15-12-2024 20:03:31,213013000,None,None,None,None,None,None
6035061,348407,210,DEFAULT,15-12-2024 20:03:31,257975000,None,None,None,None,None,None
6045529,356797,254,DEFAULT,15-12-2024 20:03:31,305181000,None,None,None,None,None,None
